               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048755,            0.024573,            0.019437,             0.25141,             0.76713,             0.28897,             0.15201,            0.019237,           0.0055316,           0.0093397,            0.070151,           0.0033166,           0.0033166
                   1,            0.032228,            0.016031,            0.018746,             0.42824,             0.91877,             0.51354,             0.25465,            0.014465,            0.003782,           0.0092858,            0.039986,           0.0064853,           0.0064853
                   2,            0.029521,             0.01402,            0.018238,             0.48418,              0.8393,             0.51528,             0.30538,            0.011948,           0.0041916,           0.0090936,           0.0096566,           0.0094891,           0.0094891
                   3,            0.024139,            0.013168,            0.018178,             0.49899,             0.97878,              0.5748,             0.37551,             0.01133,           0.0031623,           0.0094377,           0.0092575,           0.0092575,           0.0092575
                   4,            0.021365,            0.012335,             0.01799,             0.49805,             0.98905,             0.56206,             0.39623,           0.0094204,           0.0031273,           0.0095567,           0.0092575,           0.0092575,           0.0092575
                   5,            0.019527,            0.011944,            0.017773,             0.50196,             0.98905,             0.57104,             0.36683,            0.011322,           0.0029799,           0.0099467,             0.00901,             0.00901,             0.00901
                   6,            0.017363,            0.011827,            0.017816,             0.50221,             0.98905,             0.59862,             0.44689,           0.0087172,           0.0029068,            0.010637,           0.0087625,           0.0087625,           0.0087625
                   7,            0.016506,            0.011244,            0.017365,             0.50433,             0.98277,             0.64069,             0.47575,           0.0087637,           0.0028606,            0.011208,            0.008515,            0.008515,            0.008515
                   8,            0.016622,            0.010948,            0.017764,             0.50419,             0.98623,             0.65999,             0.49365,           0.0084137,              0.0031,            0.010887,           0.0082675,           0.0082675,           0.0082675
                   9,            0.015615,            0.011028,            0.017143,             0.52094,              0.9506,             0.65232,             0.48763,           0.0083798,           0.0029362,            0.010657,             0.00802,             0.00802,             0.00802
                  10,            0.016236,            0.010737,            0.017302,             0.54562,             0.93769,             0.70573,             0.52957,           0.0091185,           0.0028164,            0.010067,           0.0077725,           0.0077725,           0.0077725
                  11,            0.016299,            0.011067,            0.017214,             0.55242,             0.90498,             0.67566,             0.46909,           0.0092832,           0.0027332,            0.010265,            0.007525,            0.007525,            0.007525
                  12,            0.015644,            0.010663,            0.016928,              0.5119,             0.96016,             0.63739,              0.4918,           0.0081461,            0.002738,            0.010971,           0.0072775,           0.0072775,           0.0072775
                  13,            0.014375,            0.010648,            0.016601,             0.55408,             0.89408,             0.67944,             0.52733,             0.00819,           0.0027486,           0.0099559,             0.00703,             0.00703,             0.00703
                  14,             0.01365,            0.010379,            0.016539,             0.54313,             0.92343,             0.64394,             0.50393,           0.0079284,            0.002786,            0.010039,           0.0067825,           0.0067825,           0.0067825
                  15,            0.014319,            0.010473,            0.016994,             0.55136,             0.92917,             0.68719,             0.53772,           0.0079531,           0.0027659,            0.010043,            0.006535,            0.006535,            0.006535
                  16,             0.01337,            0.010107,            0.016636,             0.54727,              0.8866,             0.64737,             0.48665,           0.0089611,           0.0027112,            0.010599,           0.0062875,           0.0062875,           0.0062875
                  17,             0.01415,            0.010539,            0.016671,             0.57632,             0.89126,             0.71983,             0.57539,            0.007568,            0.002867,            0.010139,             0.00604,             0.00604,             0.00604
                  18,            0.014057,            0.010151,            0.016337,             0.56519,             0.91886,              0.6948,              0.5401,           0.0077525,           0.0027943,             0.01054,           0.0057925,           0.0057925,           0.0057925
                  19,            0.013601,            0.010427,            0.015851,             0.53952,             0.92877,             0.69621,             0.55062,           0.0076271,           0.0027246,            0.011073,            0.005545,            0.005545,            0.005545
                  20,            0.012967,           0.0099763,            0.016033,             0.57341,             0.86056,             0.70021,             0.54845,           0.0076118,           0.0027631,            0.010405,           0.0052975,           0.0052975,           0.0052975
                  21,             0.01358,           0.0098333,            0.016107,             0.53959,              0.9376,             0.67917,             0.53243,           0.0075929,           0.0027614,            0.010786,             0.00505,             0.00505,             0.00505
                  22,            0.013453,           0.0098604,            0.016161,             0.53545,             0.95194,             0.64732,             0.50391,           0.0077284,           0.0027983,            0.011162,           0.0048025,           0.0048025,           0.0048025
                  23,            0.012982,            0.010016,            0.015977,             0.52963,             0.94695,              0.6741,             0.53362,           0.0077654,           0.0027555,             0.01088,            0.004555,            0.004555,            0.004555
                  24,            0.012556,           0.0099847,            0.016015,             0.54099,             0.90559,             0.66393,             0.52622,            0.007605,           0.0027258,            0.011469,           0.0043075,           0.0043075,           0.0043075
                  25,             0.01374,           0.0098275,            0.015547,             0.54056,             0.92264,             0.70549,             0.54184,           0.0076306,           0.0030637,               0.011,             0.00406,             0.00406,             0.00406
                  26,            0.013061,            0.010083,            0.015957,             0.54377,             0.91022,              0.7032,             0.55495,           0.0075669,           0.0028072,              0.0104,           0.0038125,           0.0038125,           0.0038125
                  27,            0.012195,           0.0098613,            0.015524,             0.54711,             0.92571,             0.70264,             0.54979,           0.0075429,           0.0027957,            0.010318,            0.003565,            0.003565,            0.003565
                  28,            0.011375,             0.00968,            0.014918,             0.53409,             0.96156,             0.70074,             0.55718,           0.0075457,           0.0026847,            0.010775,           0.0033175,           0.0033175,           0.0033175
                  29,            0.011659,           0.0097554,             0.01514,             0.54198,             0.96503,             0.69507,             0.54367,           0.0076651,           0.0027754,            0.010595,             0.00307,             0.00307,             0.00307
                  30,            0.012507,           0.0098233,            0.015407,             0.58984,             0.81198,             0.69916,             0.55107,           0.0075871,           0.0027795,            0.011003,           0.0028225,           0.0028225,           0.0028225
                  31,            0.011946,           0.0095783,            0.014927,             0.51574,             0.95544,             0.66319,               0.525,           0.0075632,           0.0028081,            0.010514,            0.002575,            0.002575,            0.002575
                  32,            0.011913,           0.0096511,            0.014744,             0.54127,             0.94017,             0.68851,             0.55191,           0.0072491,           0.0027797,            0.010512,           0.0023275,           0.0023275,           0.0023275
                  33,            0.011054,            0.009629,             0.01491,             0.58271,              0.8691,             0.71065,             0.56547,           0.0072186,            0.002722,            0.010798,             0.00208,             0.00208,             0.00208
                  34,            0.011989,            0.009601,            0.014402,             0.58941,             0.78393,             0.68416,             0.54037,           0.0072871,           0.0027211,            0.010994,           0.0018325,           0.0018325,           0.0018325
                  35,            0.011647,           0.0095534,            0.014305,             0.55324,             0.89205,             0.68864,             0.54862,           0.0073376,           0.0027725,            0.010902,            0.001585,            0.001585,            0.001585
                  36,            0.011224,           0.0096255,            0.014413,             0.56878,             0.88046,             0.68525,             0.54381,           0.0073607,           0.0027575,            0.010997,           0.0013375,           0.0013375,           0.0013375
                  37,            0.011153,           0.0095658,            0.014272,              0.5516,             0.92181,             0.65865,             0.52499,           0.0071945,           0.0026451,            0.012037,             0.00109,             0.00109,             0.00109
                  38,            0.010679,           0.0095904,            0.014108,             0.63426,             0.77324,             0.66631,             0.53166,            0.007262,           0.0027388,            0.011329,           0.0008425,           0.0008425,           0.0008425
                  39,            0.010117,           0.0095343,            0.013928,             0.54821,             0.92402,             0.65377,             0.52263,           0.0072557,           0.0026694,            0.012236,            0.000595,            0.000595,            0.000595
